time,EEG Fp1-REF,EEG Fp2-REF,EEG F3-REF,EEG F4-REF,EEG C3-REF,EEG C4-REF,EEG P3-REF,EEG P4-REF,EEG O1-REF,EEG O2-REF,EEG F7-REF,EEG F8-REF,EEG T3-REF,EEG T4-REF,EEG T5-REF,EEG T6-REF,EEG Fz-REF,EEG Cz-REF,EEG Pz-REF,ECG EKG-REF,Resp Effort-REF
0,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.30867554246630946,-0.7594388561664611
4,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.0034999999998035487,0.30867554246630946,0.0034999999998035487,0.15608777123305648,-0.4542633136999553,-0.1490877712334494,-0.1490877712334494,-0.1490877712334494,-0.3016755424667024,0.0034999999998035487,-0.4542633136999553,0.15608777123305648,0.0034999999998035487,0.30867554246630946,5.191484221930403,-16.17080375072501
8,0.0034999999998035487,-0.4542633136999553,0.30867554246630946,-0.3016755424667024,0.6138510849328154,-0.1490877712334494,1.834553254798839,-0.1490877712334494,0.6138510849328154,-1.827553254799232,-1.0646143986329673,-1.0646143986329673,-1.0646143986329673,-1.369789941099473,0.4612633136995624,-1.674965483565979,0.4612633136995624,0.15608777123305648,1.3767899410990798,27.469298821985337,-85.90341520432159
12,-0.4542633136999553,-1.369789941099473,0.6138510849328154,-0.7594388561664611,1.6819654835655862,-0.3016755424667024,4.123369823297634,-0.4542633136999553,1.0716143986325743,-3.9637820520647726,-2.285316568498991,-2.437904339732244,-2.285316568498991,-2.8956676534320023,0.7664388561660683,-3.5060187383650145,1.0716143986325743,0.15608777123305648,2.597492110965104,60.12308186590147,-187.8320463881346
16,-1.5223777123327258,-2.437904339732244,0.7664388561660683,-1.2172021698662199,2.292316568498598,-0.4542633136999553,4.5811331369973916,-0.6068510849332083,1.0716143986325743,-4.4215453657645325,-2.437904339732244,-3.2008431958985084,-2.8956676534320023,-3.5060187383650145,0.4612633136995624,-3.5060187383650145,1.0716143986325743,0.30867554246630946,2.9026676534316094,68.66799705496364,-214.8400818964204
20,-1.9801410260324848,-2.743079882198749,0.9190266273993212,-1.5223777123327258,1.834553254798839,-0.6068510849332083,3.5130187383646216,-0.6068510849332083,0.6138510849328154,-3.9637820520647726,-2.285316568498991,-2.743079882198749,-2.743079882198749,-3.3534309671317617,-0.4542633136999553,-2.285316568498991,0.7664388561660683,0.15608777123305648,2.9026676534316094,56.46097535630339,-175.1672613757746
23,-1.0646143986329673,-1.674965483565979,1.0716143986325743,-1.827553254799232,1.0716143986325743,-0.9120266273997142,3.3604309671313684,-0.7594388561664611,0.15608777123305648,-4.574133136997785,-2.5904921109654966,-2.437904339732244,-2.8956676534320023,-4.574133136997785,-0.9120266273997142,-2.5904921109654966,0.6138510849328154,0.15608777123305648,2.597492110965104,55.39286095767062,-168.91116275521122
27,-0.7594388561664611,-0.3016755424667024,0.9190266273993212,-1.5223777123327258,1.3767899410990798,-0.9120266273997142,3.6656065095978745,-0.4542633136999553,-0.4542633136999553,-5.33707199316405,-3.2008431958985084,-2.285316568498991,-3.81119428083152,-5.794835306863807,-0.9120266273997142,-3.3534309671317617,0.9190266273993212,0.0034999999998035487,1.987141026032092,60.428257408367976,-189.20533632923386
31,-1.369789941099473,-1.2172021698662199,0.4612633136995624,-0.7594388561664611,1.834553254798839,-0.1490877712334494,3.3604309671313684,-0.4542633136999553,-0.1490877712334494,-5.642247535630556,-3.3534309671317617,-2.285316568498991,-4.574133136997785,-4.26895759453128,-1.369789941099473,-3.9637820520647726,1.2242021698658272,0.0034999999998035487,2.292316568498598,55.39286095767062,-184.9328787347028
35,-1.9801410260324848,-3.048255424665256,0.4612633136995624,-1.0646143986329673,1.529377712332333,-0.4542633136999553,2.597492110965104,-0.9120266273997142,-0.3016755424667024,-5.642247535630556,-3.5060187383650145,-2.8956676534320023,-4.726720908231037,-1.827553254799232,-2.285316568498991,-3.9637820520647726,0.7664388561660683,0.15608777123305648,3.0552554246648627,50.35746450697329,-175.01467360454137
39,-1.827553254799232,-3.3534309671317617,1.2242021698658272,-1.827553254799232,1.529377712332333,-1.369789941099473,2.1397287972653447,-1.369789941099473,-1.0646143986329673,-5.642247535630556,-3.81119428083152,-3.81119428083152,-4.26895759453128,-2.132728797265738,-2.5904921109654966,-3.3534309671317617,0.15608777123305648,0.30867554246630946,3.2078431958981155,52.493693304238825,-180.05007005523868
43,-1.369789941099473,-1.5223777123327258,0.7664388561660683,-1.827553254799232,1.6819654835655862,-1.674965483565979,2.4449043397318513,-0.7594388561664611,-1.369789941099473,-5.4896597643973015,-2.8956676534320023,-3.3534309671317617,-3.3534309671317617,-3.048255424665256,-1.674965483565979,-2.285316568498991,0.4612633136995624,0.30867554246630946,2.7500798821983556,52.03592999053907,-183.254413251137
47,-0.7594388561664611,-0.1490877712334494,0.30867554246630946,-0.7594388561664611,2.1397287972653447,-1.0646143986329673,3.2078431958981155,0.30867554246630946,-0.7594388561664611,-5.4896597643973015,-1.9801410260324848,-2.285316568498991,-2.5904921109654966,-2.437904339732244,-0.6068510849332083,-2.132728797265738,1.3767899410990798,0.15608777123305648,2.7500798821983556,46.54277022614195,-179.13454342783913
51,-1.2172021698662199,-0.7594388561664611,1.0716143986325743,-0.3016755424667024,2.292316568498598,-0.3016755424667024,3.8181942808311273,0.0034999999998035487,0.15608777123305648,-5.33707199316405,-1.9801410260324848,-1.9801410260324848,-2.437904339732244,-2.285316568498991,-0.1490877712334494,-2.5904921109654966,1.987141026032092,0.15608777123305648,3.6656065095978745,42.42290040284412,-178.5241923429061
55,-2.132728797265738,-2.132728797265738,2.1397287972653447,-0.6068510849332083,2.597492110965104,-0.4542633136999553,3.3604309671313684,-0.6068510849332083,0.0034999999998035487,-5.031896450697544,-2.437904339732244,-2.437904339732244,-2.743079882198749,-4.4215453657645325,-0.9120266273997142,-2.5904921109654966,1.6819654835655862,0.15608777123305648,4.7337209082306435,41.049610461744855,-180.05007005523868
